"sex","type","chromosome","n","enrichment","p.value","chr.pseudo","sig"
"(M) hermaphrodite","cis-only","V",49,1.17908033864563,0.399806487074939,5,""
"(M) hermaphrodite","cis-trans (compensatory)","I",34,1.04655354821084,0.831341953890723,1,""
"(M) hermaphrodite","cis-trans (compensatory)","II",20,0.724897938520469,0.240998437607926,2,""
"(M) hermaphrodite","cis-trans (compensatory)","III",28,1.18566074041185,0.477777150283704,3,""
"(M) hermaphrodite","cis-trans (compensatory)","IV",26,1.13161731340148,0.630358448133756,4,""
"(M) hermaphrodite","cis-trans (compensatory)","V",25,0.947867027434169,0.90759271621589,5,""
"(M) hermaphrodite","conserved","I",41,0.940250283876548,0.848264283163259,1,""
"(M) hermaphrodite","conserved","II",34,1.05134169450805,0.833532561218444,2,""
"(M) hermaphrodite","conserved","III",26,0.745331028709284,0.205102523786725,3,""
"(M) hermaphrodite","conserved","IV",36,1.25979680787082,0.280713232476076,4,""
"(M) hermaphrodite","conserved","V",35,1.06197453317771,0.755268473824119,5,""
"(M) hermaphrodite","trans-only","I",30,0.579107611351963,0.0102755626982396,1,"*"
"(M) hermaphrodite","trans-only","II",49,1.81375986648786,0.00238313501901533,2,"*"
"(M) hermaphrodite","trans-only","III",33,1.00629977913506,1,3,""
"(M) hermaphrodite","trans-only","IV",41,1.49051348023232,0.0539270608538303,4,""
"(M) hermaphrodite","trans-only","V",23,0.576372113583414,0.0176126655961503,5,"*"
"female","ambiguous","I",231,0.93191886268981,0.369735143913114,1,""
"female","ambiguous","II",232,0.895488385246337,0.150502129296306,2,""
"female","ambiguous","III",225,1.01257803953223,0.87678757164033,3,""
"female","ambiguous","IV",263,1.03985038638203,0.582751910963641,4,""
"female","ambiguous","V",324,1.00998670668295,0.893372463088467,5,""
"female","ambiguous","X",300,1.10523799243737,0.147229716462167,6,""
"female","cis + trans (enhancing)","I",248,1.1388879661119,0.0822987164774842,1,""
"female","cis + trans (enhancing)","II",247,1.08170750162628,0.30358813219282,2,""
"female","cis + trans (enhancing)","III",219,1.08173177989968,0.316754843347219,3,""
"female","cis + trans (enhancing)","IV",263,1.15575787688488,0.0489968747884581,4,""
"female","cis + trans (enhancing)","V",270,0.870199271302476,0.0525044027405275,5,""
"female","cis + trans (enhancing)","X",212,0.7646655240888,0.000513024042152526,6,""
"female","cis x trans (compensatory)","I",261,1.17191939846424,0.0327660803847397,1,""
"female","cis x trans (compensatory)","II",281,1.24196534220552,0.00295704417271954,2,""
"female","cis x trans (compensatory)","III",221,1.05052571788147,0.527223570215898,3,""
"female","cis x trans (compensatory)","IV",289,1.26566839876324,0.00100592949008638,4,""
"female","cis x trans (compensatory)","V",278,0.867474956370028,0.0438528133262921,5,""
"female","cis x trans (compensatory)","X",175,0.57512326724151,4.7788401037533e-12,6,"*"
"female","cis-only","I",286,1.17678728599946,0.022913514595067,1,""
"female","cis-only","II",271,1.04100939756706,0.587328455081822,2,""
"female","cis-only","III",241,1.04619878158851,0.542947112238724,3,""
"female","cis-only","IV",248,0.902508784614717,0.171854890383302,4,""
"female","cis-only","V",311,0.893142362193535,0.100097388053205,5,""
"female","cis-only","X",290,0.988954570902556,0.889655625759748,6,""
"female","cis-trans (compensatory)","I",291,1.34499441647916,4.13517824116622e-05,1,""
"female","cis-trans (compensatory)","II",255,1.06483490593288,0.389955799883164,2,""
"female","cis-trans (compensatory)","III",251,1.22966566321761,0.00664071649344883,3,""
"female","cis-trans (compensatory)","IV",259,1.06524473538358,0.39274556664886,4,""
"female","cis-trans (compensatory)","V",288,0.895263215595429,0.117960360528809,5,""
"female","cis-trans (compensatory)","X",180,0.585928233442802,1.69302368919446e-11,6,"*"
"female","conserved","I",253,0.678452945356156,3.41487692753678e-08,1,"*"
"female","conserved","II",296,0.79954334908293,0.00096384762753288,2,""
"female","conserved","III",255,0.773981674171596,0.00035289776716392,3,""
"female","conserved","IV",316,0.856477502656871,0.0206269641501056,4,""
"female","conserved","V",525,1.30861129460052,2.50344687194547e-06,5,""
"female","conserved","X",525,1.63452003696117,4.23270487045817e-17,6,"*"
"female","trans-only","I",296,0.825047152175918,0.00450976566589511,1,""
"female","trans-only","II",348,0.988276438643432,0.872145094304901,2,""
"female","trans-only","III",297,0.938444941395982,0.378801615631763,3,""
"female","trans-only","IV",322,0.865055406038457,0.0295305831004995,4,""
"female","trans-only","V",471,1.07910864467147,0.187978242424118,5,""
"female","trans-only","X",461,1.29575790456295,1.50822310793637e-05,6,""
