Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
X.g20044.t1	6	6	3	19	5	24
III.g9306.t1	2	0	2	1777	1549	1716
III.g10120.t1	288	210	197	684	801	743
I.g1878.t3	6226	7059	6057	2801	2622	3270
II.g4251.t1	3190	3595	3056	2865	2466	3134
IV.g11435.t1	795	879	761	420	405	532
II.g4252.t1	1455	1316	1360	896	917	911
X.g22001.t1	17	28	18	34	23	26
III.g9767.t1	778	865	745	744	1117	1047
X.g22000.t1	11	2	2	53	26	14
II.g6138.t1	1808	2116	1975	464	765	752
V.g17365.t1	228	209	264	308	337	272
X.g21251.t1	17	4	8	49	104	65
V.g16279.t2	34	22	33	74	69	66
V.g16281.t2	25	26	28	83	107	71
II.g6238.t2	276	726	232	962	1378	1143
III.g10126.t1	228	228	216	258	246	273
IV.g13510.t1	26	44	25	47	25	52
I.g829.t1	133	158	137	123	133	124
IV.g12954.t3	74	34	58	298	251	271
V.g15612.t3	1	1	0	7	7	4
IV.g12066.t3	6834	7718	7003	3305	2982	4308
III.g10125.t1	604	472	626	466	540	483
III.g10091.t1	4	6	10	18	12	8
III.g8615.t2	15	18	19	35	34	45
V.g15613.t2	0	0	1	4	16	8
V.g13915.t1	660	780	503	910	1411	799
II.g4635.t1	0	0	0	3898	3144	3419
II.g6191.t1	1699	1778	1472	2184	3561	2498
X.g21397.t2	12	11	11	8	15	16
II.g5598.t3	3211	3450	2927	2164	2669	2273
IV.g12060.t2	3	6	4	24	21	21
III.g8570.t1	11429	12274	10733	12907	8739	13963
I.g3652.t2	1637	1813	1610	1166	997	1318
II.g5727.t1	6	3	2	39	7	23
II.g5599.t1	14	6	2	3734	2547	3299
II.g5728.t1	10	8	15	50	45	37
IV.g12434.t1	435	561	637	1698	493	1312
V.g17776.t1	3	5	1	15	17	9
X.g21296.t1	121	142	115	288	174	268
III.g9275.t2	3832	3943	3734	2199	2405	2796
II.g7021.t2	4643	4554	4602	3180	2303	3237
IV.g12812.t2	306	243	230	139	296	130
I.g2523.t1	3338	3772	3411	1218	1675	1938
IV.g12064.t2	4	0	6	22	17	18
II.g5611.t1	0	0	1	243	402	262
I.g3815.t3	11774	13289	11547	2977	1713	3238
III.g9756.t1	5	5	5	1162	1083	1239
II.g4167.t2	873	892	906	299	65	219
IV.g12809.t1	738	545	565	508	815	528
III.g8175.t2	11283	13262	11586	4256	3189	5718
I.g2097.t1	41	29	25	133	55	100
II.g4163.t1	405	452	395	208	157	175
I.g1950.t1	1717	1873	1809	973	633	1096
IV.g11409.t1	1	6	0	23	5	16
I.g3691.t1	10086	10519	9691	10054	4693	8681
II.g5139.t1	138	161	95	426	295	385
X.g19119.t3	5998	7691	6364	4465	1453	3924
V.g14380.t1	50	20	57	60	36	58
I.g1327.t3	1287	1151	1400	3006	2008	3500
II.g5141.t1	51	44	58	142	160	135
V.g17266.t1	1555	1626	1516	489	659	765
II.g3973.t1	19	28	13	136	130	138
X.g21020.t1	70	102	52	263	192	282
V.g17462.t1	0	1	0	288	265	306
II.g3971.t1	163	317	314	110	153	362
V.g16503.t1	13	14	8	41	102	31
I.g3148.t1	0	0	0	4502	3447	4351
V.g15237.t1	0	1	1	421	309	370
V.g17544.t1	1	2	0	9	2	7
V.g14560.t1	2	1	3	2034	1272	1835
I.g2652.t3	13804	14986	13554	9537	5590	9676
V.g17075.t1	36	32	38	88	144	110
V.g15276.t2	0	0	0	3016	2265	2600
X.g22246.t3	9	5	3	7	14	7
III.g10397.t1	1472	1524	1402	1079	1110	1290
I.g1714.t2	0	1	1	1876	1337	1649
X.g22044.t2	510	549	556	1990	954	1674
I.g965.t2	638	664	473	701	183	402
I.g797.t2	3908	4172	3653	4294	2484	3998
IV.g10770.t3	76	65	39	133	15	64
X.g18905.t3	3213	3702	3360	1316	904	1417
III.g8041.t1	1413	1498	1357	855	1417	1365
II.g7248.t2	2	5	0	36	46	46
IV.g12678.t2	12	19	3	57	62	47
II.g4855.t2	0	3	0	1039	636	833
IV.g12676.t1	67	20	24	112	123	144
V.g14598.t1	1031	962	900	235	279	263
III.g8179.t1	0	3	0	1056	815	936
II.g7185.t1	128	148	148	401	186	357
III.g9021.t1	13	25	22	130	80	141
I.g3221.t2	431	537	480	359	281	427
IV.g12735.t1	6	4	10	30	23	23
II.g5371.t3	582	794	573	3538	2764	3276
X.g20570.t1	77	63	60	76	50	64
IV.g12733.t1	15	9	9	103	62	88
III.g10155.t1	13	17	15	13	8	15
II.g4158.t1	242	229	194	408	306	352
IV.g10857.t2	1946	1709	1587	3915	2442	4378
III.g8797.t1	9943	13388	13917	2461	2278	4419
IV.g11656.t1	4010	4585	4090	1586	1839	2157
II.g5130.t1	2529	2367	2292	2011	1664	2130
IV.g12966.t1	1988	584	1851	1062	2101	1064
V.g18405.t1	70444	66578	60972	54011	38770	48480
II.g6203.t2	7066	7505	6554	2194	2411	2650
II.g5131.t1	2711	3457	2770	2026	2034	2427
V.g18491.t1	80	54	46	97	161	75
V.g16025.t1	9	5	13	792	553	661
V.g18368.t1	222	269	154	252	316	259
V.g15960.t1	3	22	14	83	36	93
III.g7494.t1	2166	2454	2178	1352	1259	1438
V.g16024.t1	631	801	569	839	1193	1036
I.g3131.t1	1	0	1	1	0	0
V.g16750.t1	2342	2508	2328	1163	1308	1433
I.g3139.t2	1045	598	596	392	552	398
II.g6405.t3	838	842	645	1018	1362	1106
IV.g10778.t1	333	445	292	382	274	379
IV.g10869.t1	183	216	116	317	156	314
V.g16795.t3	26222	27939	26023	11705	7255	12629
III.g7623.t1	1454	1404	1286	680	582	778
IV.g13103.t1	2960	3094	2894	2009	1514	2105
II.g4294.t2	73	100	97	211	81	177
II.g4289.t2	67	85	65	138	103	130
II.g6241.t1	258	1088	85	80	41	34
I.g966.t3	11026	11082	11256	600	454	944
II.g4343.t1	888	729	705	1551	789	1513
IV.g12861.t4	1737	1872	1617	2517	1728	2285
IV.g12704.t1	0	2	0	1	3	4
V.g16134.t3	14	32	13	68	44	93
II.g5171.t3	20377	22544	21646	8666	6309	11083
III.g7790.t1	73	112	37	1128	270	505
III.g9349.t1	5333	5808	5191	5317	3892	5060
V.g16132.t1	13	17	13	59	37	63
V.g14924.t1	56	71	66	10	5	26
IV.g11248.t4	492	446	401	766	947	695
IV.g11246.t2	480	396	423	616	875	595
V.g16550.t1	3360	3184	3052	2699	2691	2708
V.g14966.t1	1919	3789	2750	4903	574	3812
X.g21616.t2	159	189	150	4	8	21
IV.g13664.t1	317	334	259	305	262	320
V.g15028.t1	43	51	44	231	157	219
II.g5340.t1	4918	5235	4851	3986	4209	4646
X.g20782.t1	1078	1085	973	1145	1141	1288
II.g5331.t3	1	1	0	16	10	21
IV.g13174.t2	7	7	1	23	28	18
V.g16549.t1	199	204	188	146	186	138
II.g5332.t1	1	5	1	38	39	49
II.g5221.t3	8	5	5	13	15	18
III.g9203.t1	36018	37833	36006	27523	15626	26587
II.g5220.t1	2	4	3	382	343	429
IV.g12761.t1	4	4	0	2765	2261	2668
I.g2857.t1	8162	7676	7364	7902	8457	8244
X.g21784.t2	53	119	298	97	121	96
III.g10297.t1	2272	2227	2198	1388	1304	1774
II.g6058.t1	7	0	5	35	39	29
IV.g13624.t1	4452	4677	4270	2910	2074	3054
V.g18289.t1	0	0	0	0	0	0
III.g8150.t1	26	51	16	98	120	136
IV.g11811.t1	745	858	784	759	529	726
II.g6136.t1	1408	1431	1310	794	1209	1026
V.g16102.t1	1992	2913	3452	2018	612	2213
II.g5114.t1	0	0	0	0	0	0
II.g4817.t1	9478	9428	9075	4950	3157	4887
III.g8436.t1	8	6	10	56	48	57
V.g17145.t1	0	0	0	5227	3737	4508
II.g5732.t1	2098	2533	2078	436	639	686
X.g20136.t1	12	14	10	59	37	46
X.g20461.t1	3	1	2	2	3	2
II.g6350.t1	884	1049	961	187	295	298
IV.g12835.t1	6716	7297	7225	3873	3201	3829
V.g16326.t1	3	7	3	450	142	180
X.g19296.t1	90	86	50	142	123	149
X.g20135.t1	2	0	2	0	6	4
V.g15397.t1	7	6	6	19	9	8
II.g5031.t1	1	1	2	1597	1375	1508
X.g21154.t1	75	121	71	66	97	59
X.g19297.t1	397	452	287	848	850	784
II.g5785.t1	5	6	7	37	24	22
V.g15400.t2	265	252	246	415	338	476
II.g7266.t1	0	2	1	1797	4756	2751
II.g5032.t2	25	20	11	56	79	69
I.g3096.t1	0	0	0	2346	1895	2194
III.g9196.t1	452	220	294	642	68	209
III.g8180.t1	39	29	38	79	175	97
II.g7265.t1	5	4	4	66	39	36
III.g8178.t1	60	60	58	144	258	134
V.g15597.t1	114	80	82	275	325	258
V.g15596.t1	3	7	8	30	34	34
V.g16065.t1	851	970	698	1794	1318	1698
IV.g12883.t1	1599	1922	1645	2076	2410	2511
V.g17687.t2	0	0	0	1193	1034	1172
III.g9198.t1	1087	497	758	1588	276	513
III.g9113.t1	5075	5660	5066	3477	2404	4129
IV.g12884.t1	29	30	19	88	56	82
III.g9847.t1	7	5	3	17789	9623	14244
I.g1746.t1	0	0	1	197	240	211
V.g15467.t1	0	0	0	0	0	0
I.g2867.t1	1164	1295	1218	684	1113	865
V.g14828.t1	7	2	3	11	31	20
IV.g12384.t2	1005	592	671	1292	1512	1101
X.g21029.t1	2379	2521	2365	1836	1735	2045
I.g2785.t1	110	136	132	1009	685	1110
X.g21046.t2	8	7	4	58	32	38
X.g21874.t2	3142	3237	2770	2327	1331	2248
II.g4021.t1	378	398	366	293	301	370
II.g6035.t3	617	777	709	5462	4554	5888
V.g16120.t1	14258	11991	11666	14710	22429	15712
II.g4018.t1	1082	1125	1077	879	1146	1050
II.g4393.t1	0	0	1	1212	819	974
I.g1069.t2	3576	3934	3675	340	455	831
II.g4185.t1	1894	2140	1768	163	177	410
IV.g11204.t2	3017	3114	3082	1092	817	1232
X.g21453.t1	1473	1743	1604	415	303	544
IV.g12410.t2	2880	2839	2857	805	635	1170
V.g18399.t2	459	434	400	310	262	368
I.g1618.t1	81957	102926	84233	13591	11751	22995
X.g21358.t1	12	15	9	91	103	86
III.g7640.t1	3954	4645	4262	2953	2036	3145
X.g19388.t2	177	127	146	393	406	419
V.g17456.t2	3923	3802	3804	4688	3879	4822
V.g18393.t1	2283	2364	2295	1503	980	1668
V.g17229.t1	5522	6308	5901	786	885	1024
X.g19561.t3	398	469	407	479	310	565
X.g19560.t1	11	12	11	14	6	13
I.g2251.t3	9367	9898	9770	7000	5305	7676
III.g9096.t1	10058	13580	14499	8118	10183	11060
III.g7902.t1	258	212	202	401	404	447
V.g17178.t1	5763	6634	5874	3390	4112	4538
X.g18751.t2	632	568	529	989	443	993
V.g17642.t1	48	56	44	95	280	124
II.g4894.t1	1789	1994	1753	1050	761	1286
I.g3793.t4	2565	2895	2501	1300	793	1443
V.g16501.t1	2136	2278	1920	2029	2658	2023
V.g18229.t1	121	108	105	182	196	153
V.g15464.t3	360	387	347	307	469	378
III.g8699.t1	118	207	145	261	214	269
IV.g12670.t1	9929	10625	10187	5730	3565	6796
II.g5617.t1	2087	1199	1814	4181	1036	3075
IV.g11872.t1	69991	58803	57982	60370	54189	53118
I.g1521.t1	780	963	905	191	318	441
X.g20993.t4	2022	2245	1572	2629	2541	2826
III.g9167.t2	3274	3767	3211	2378	2303	3095
II.g6101.t2	4555	4692	3984	4204	3796	4017
III.g8697.t1	172	232	149	242	203	226
I.g726.t1	8873	7326	7441	8284	17321	8638
V.g15402.t3	75	100	52	294	209	259
IV.g13276.t1	0	2	1	4	4	3
X.g18655.t1	46	63	73	5	0	8
I.g1947.t1	17	10	8	216	247	254
III.g10234.t1	9039	7730	8376	11886	8123	10492
V.g15497.t2	6193	7194	6515	1338	1370	2302
II.g5000.t2	8913	9117	8642	7642	7454	7955
V.g16700.t1	13	6	14	70981	35097	56792
II.g4990.t4	1478	1310	1379	1374	1810	1543
I.g1514.t1	10206	11507	10410	3370	4807	4976
I.g1401.t2	3833	2918	3477	43659	30968	36950
II.g5589.t1	5744	6242	5405	1862	2289	3120
III.g9930.t1	4257	4695	3846	759	513	856
X.g19450.t1	21	64	31	207	33	137
I.g1670.t1	8731	9139	8319	6465	7120	6638
I.g2917.t1	0	0	3	5	4	3
X.g19451.t1	520	553	331	296	907	360
IV.g11188.t1	312	308	217	1915	1087	1554
IV.g13462.t1	67	51	60	5	2	7
IV.g13439.t1	87	75	53	143	195	148
I.g2938.t1	0	0	0	2659	2471	2556
V.g16447.t2	1934	1809	1355	2182	3993	2694
II.g5082.t2	0	0	2	5	8	2
II.g4617.t1	24211	20453	23626	23431	21444	19405
II.g4458.t2	42	19	25	44	43	49
V.g14470.t1	5	2	1	182	197	193
V.g14452.t1	23	31	29	68	80	79
III.g8741.t1	35	20	34	133	33	85
V.g17146.t2	866	797	700	1998	1473	2071
V.g17144.t2	516	531	447	1314	745	1191
I.g2833.t1	1	2	1	2464	1645	2207
III.g8740.t1	273	132	287	891	247	609
II.g5454.t3	9304	10259	9405	3569	3139	4216
I.g2512.t1	5	6	3	3912	3287	3729
II.g5452.t1	1859	1937	1891	614	412	722
I.g2196.t1	14144	14231	12878	12416	10966	12742
II.g5078.t1	5183	6203	5720	3338	3581	4365
II.g4900.t1	4667	5000	4449	3264	2503	3489
III.g9757.t1	3	3	3	4365	3404	4043
IV.g10481.t1	11	17	4	35	115	56
V.g16552.t2	337	84	259	71	206	75
V.g15538.t2	2068	2232	2095	917	811	1064
II.g5804.t3	1855	1499	1294	2286	4466	2540
IV.g13685.t3	3	0	1	1542	969	1261
IV.g12312.t3	281	316	273	354	408	390
IV.g11539.t2	2382	2463	2270	1434	1145	1510
V.g15539.t1	823	932	802	336	269	392
II.g5635.t1	6002	5532	5401	4044	4465	4349
IV.g12849.t1	2035	2171	1856	961	1160	1425
IV.g11305.t1	216	161	142	154	274	197
IV.g12850.t1	6	5	2	10	9	3
I.g2978.t1	2259	2579	2189	1416	957	1665
IV.g12313.t3	170	188	203	1567	209	1947
I.g2980.t1	3695	4254	3491	2107	955	2514
I.g3590.t1	1644	1395	1687	2712	1045	2391
IV.g12928.t1	9036	6562	8273	8509	2578	8114
IV.g13791.t1	10	9	9	6	5	5
IV.g10517.t3	4578	5143	4607	2282	2362	2839
III.g8989.t1	3	1	6	12	6	5
III.g10007.t1	391	279	395	1011	217	846
II.g6860.t1	1343	1628	1428	1052	947	1254
II.g5909.t1	3969	3668	3760	1919	2221	2014
III.g9072.t1	493	618	564	638	778	896
III.g10009.t1	64	54	96	468	30	402
I.g3019.t1	87	116	122	225	274	315
IV.g13521.t1	39	38	57	117	122	149
III.g8990.t1	254	221	217	325	584	376
IV.g13010.t1	4845	5434	4985	1666	1588	2274
I.g2537.t1	58	173	66	588	418	492
V.g14475.t2	1439	1746	1401	1317	502	1046
V.g14453.t1	1663	2076	1668	679	376	738
V.g15014.t1	10	4	9	17	32	14
I.g1088.t1	196	167	170	363	292	334
V.g14558.t1	66	52	74	60	20	56
IV.g12400.t1	7356	7328	7364	4216	4416	4756
II.g4455.t1	140	149	159	14665	8243	12664
I.g3675.t1	10	2	2	86	53	69
III.g7737.t2	66	37	54	109	43	83
V.g14227.t1	248	274	226	402	252	332
IV.g12859.t1	6278	7140	6196	3179	3787	4448
V.g16038.t1	1101	1177	1010	857	746	983
II.g5978.t3	5682	5738	5566	6324	5568	7356
I.g871.t1	512	519	495	1093	1006	1104
III.g7739.t1	179	159	165	465	467	463
I.g3426.t1	48	88	61	8594	5973	7453
I.g3858.t3	547	382	346	4677	2235	3458
II.g5508.t1	339	347	282	846	624	684
II.g4319.t2	172	180	147	490	283	420
V.g16032.t1	7137	8315	7412	4999	5306	5839
II.g3943.t1	128	79	56	274	581	348
III.g10065.t1	324	282	278	590	350	500
II.g7257.t1	19	31	19	32	10	21
II.g7258.t2	40	44	35	77	42	84
X.g20030.t1	959	1078	1039	303	236	502
III.g9987.t1	1476	1763	1545	1366	645	1546
V.g16382.t1	9125	10582	9349	2035	1796	3350
II.g5298.t2	467	559	459	447	535	464
X.g18877.t2	142	148	136	209	120	143
III.g9375.t2	1012	1166	1040	660	762	848
X.g20394.t1	1666	1170	1331	2311	1569	2177
V.g18068.t1	3520	3310	3479	3432	2210	3073
V.g15530.t1	6894	7192	6389	4576	2551	5019
III.g9373.t1	2471	2836	2655	2268	2356	2858
IV.g11467.t1	4330	4757	4363	4780	2681	4584
III.g9810.t1	63	58	75	164	105	180
V.g13893.t1	253	194	159	672	1108	714
III.g9814.t2	34	33	34	66	41	76
III.g10304.t1	29310	29313	28498	22759	22426	21474
III.g9809.t1	3	2	7	15	6	16
IV.g12941.t2	113	88	74	367	175	317
X.g21233.t2	26	6	12	77	57	64
III.g9816.t3	109271	99104	98290	90343	65101	78150
II.g6148.t1	74	12	15	53	25	32
V.g15990.t2	3977	4353	4054	1135	1465	1638
IV.g11912.t2	39	42	50	39	20	22
I.g3602.t1	6036	6850	6247	3670	1799	3391
III.g9456.t2	3940	4454	4736	2922	3696	4019
IV.g12942.t1	7	3	6	23	20	12
IV.g13798.t1	8	2	9	962	696	823
II.g5399.t1	86	89	47	231	286	263
V.g14594.t1	560	639	602	410	479	464
IV.g11011.t1	1047	1175	838	1754	688	1739
II.g6147.t1	0	0	0	1688	1440	1428
II.g5397.t1	38	32	34	215	241	324
III.g9362.t1	7	11	8	904	858	889
X.g20351.t1	154	109	48	23	29	12
X.g21133.t1	0	0	0	0	0	0
IV.g11485.t3	353	367	399	810	433	626
V.g16107.t1	187	191	200	296	235	278
IV.g10751.t1	23498	18243	23319	8208	3589	6512
IV.g12325.t1	4685	6025	6228	837	834	1039
V.g14579.t1	2	0	1	745	363	566
II.g4870.t1	12756	15218	13013	8659	7451	10427
V.g14581.t1	0	0	2	258	190	240
III.g10067.t1	0	0	0	0	0	0
IV.g13345.t1	941	952	966	792	688	884
V.g17392.t1	1	0	2	7	9	9
III.g9016.t1	186	178	140	535	571	629
I.g3872.t2	600	810	652	2130	1343	1745
III.g10136.t1	899	772	932	887	472	942
II.g4095.t3	50	64	59	119	67	98
III.g7941.t1	1898	1444	1794	1907	790	1524
V.g16479.t1	246	191	176	1183	983	938
II.g5572.t2	15799	21444	18454	3694	2226	4943
IV.g12637.t1	10565	13274	14714	2685	2613	3770
X.g19509.t1	35	45	37	244	64	80
IV.g10454.t1	2	1	0	230	223	229
II.g4112.t3	3874	4422	3806	3293	1946	3290
II.g4096.t1	176	175	179	328	211	330
I.g3711.t2	97	87	97	276	218	277
IV.g10453.t1	1	2	1	603	599	573
I.g863.t1	150	119	104	233	104	177
III.g9864.t1	77	72	33	293	197	259
IV.g12590.t1	5944	6932	6202	4515	6386	5800
IV.g12482.t1	1519	1574	1514	758	665	831
III.g9865.t3	207	205	175	849	373	687
IV.g11237.t1	6161	6396	6071	5913	3653	6171
III.g8036.t3	11903	13729	11354	6700	6541	9066
I.g3818.t1	895	1135	1100	1126	666	1326
I.g3816.t3	260	339	341	172	105	232
IV.g13014.t1	1	0	0	10286	6311	8832
X.g20534.t1	53	42	24	298	51	94
III.g10130.t1	891	893	846	584	396	556
I.g1754.t1	15	28	9	2303	2069	2188
II.g5200.t1	3078	3418	3031	2269	2218	2531
II.g4920.t1	1119	1276	1201	626	944	990
I.g1631.t1	46	66	51	615	625	642
IV.g12059.t1	268	434	360	548	354	501
II.g6183.t2	1942	2279	1975	1026	1038	1158
V.g15933.t1	6	14	4	92	17	18
V.g16094.t1	158	145	104	143	321	176
V.g15652.t1	3	1	0	13	45	12
I.g1972.t1	4012	4442	4032	3238	4057	3856
III.g10096.t1	1	1	2	3	0	5
IV.g10479.t3	3069	3520	3123	2483	1588	2380
IV.g12088.t2	6570	6623	5947	2960	3566	4090
IV.g10922.t2	564	698	571	1286	536	996
II.g4463.t1	2479	3102	2357	2908	2091	2951
V.g17259.t1	1	0	1	17	31	29
II.g5715.t3	6421	7256	6610	1201	1248	1982
II.g4006.t2	7770	8394	7915	5480	5191	5738
IV.g10887.t1	794	591	250	316	999	544
V.g16227.t2	15568	19012	15860	5678	6491	8686
V.g13886.t1	162	134	119	149	238	189
I.g2580.t1	0	0	1	43	3	12
IV.g10885.t1	11	10	4	11	43	15
IV.g11326.t1	3	2	2	3120	1923	2835
V.g13887.t1	9545	10888	8369	6120	4600	6571
I.g2590.t1	0	1	0	408	363	456
IV.g10473.t1	3	7	3	7848	5918	7460
V.g16992.t1	8	7	9	24	19	15
IV.g11304.t1	0	2	1	6560	3718	5442
V.g16991.t1	26	14	26	15	31	27
IV.g12542.t1	21882	23551	22605	2876	3876	6736
I.g3297.t1	2184	2084	2241	1952	1754	2188
I.g2187.t1	0	2	3	2	4	1
III.g9477.t1	2466	2469	2393	1906	1405	1914
III.g10318.t1	134	125	99	473	630	413
I.g1895.t1	6112	7009	6888	3103	3178	4648
III.g7793.t1	22	31	17	155	136	124
V.g15064.t1	1697	1839	1572	562	875	931
III.g9297.t1	11528	14048	11819	3933	4806	6072
V.g18409.t1	5616	5415	5551	5970	5730	5708
I.g980.t3	2732	2619	2254	3096	2206	3213
II.g5256.t2	9376	12521	8386	9697	14256	12658
X.g21711.t1	44	49	38	68	78	91
I.g1333.t2	3646	4287	3905	603	658	689
X.g21710.t1	358	424	340	316	279	339
V.g17257.t2	58	45	51	393	152	252
II.g5664.t3	122	85	126	578	429	466
II.g4274.t2	79	90	59	233	158	205
IV.g11674.t2	9316	10341	9562	6569	4153	6048
V.g15234.t1	21	32	12	28	52	28
I.g2807.t1	3878	4239	3368	8534	5479	7719
III.g9298.t1	2827	3090	2839	1653	1665	1904
III.g9267.t3	28615	29512	28375	10077	8557	12675
I.g1575.t2	7814	8550	7728	5510	5237	6423
II.g4206.t3	26	24	27	15	9	20
II.g5203.t1	27683	27938	26414	20477	16872	21880
IV.g13419.t1	201	200	190	527	310	491
V.g14158.t1	4	5	7	5	12	7
X.g19395.t1	577	631	515	737	806	830
V.g18371.t1	959	1183	864	753	354	640
I.g3008.t1	118	83	166	302	107	206
V.g16523.t1	42	23	17	89	53	56
V.g14706.t1	4	1	2	10	16	7
V.g17608.t2	6892	7497	7081	1582	1429	2973
II.g4203.t1	495	518	435	442	247	478
I.g3009.t1	156	125	204	326	147	215
III.g8735.t1	421	436	364	193	200	211
V.g16772.t1	1705	1936	1608	2513	3044	3159
X.g19401.t1	6098	5625	5326	6091	2524	5648
I.g721.t1	4549	4855	4674	3653	2280	3656
X.g20911.t2	11	27	10	6	25	9
III.g10246.t1	1	0	1	7205	4672	6352
V.g14928.t2	32990	41211	34437	10093	8232	9831
IV.g13783.t1	1089	1294	1081	1309	760	1354
X.g20785.t1	0	3	0	2	0	0
IV.g12805.t2	7986	9265	8346	5982	3467	6226
IV.g10556.t1	156050	176978	161321	115413	84373	117496
X.g22033.t1	1389	1410	1305	781	553	900
III.g8849.t1	12438	14559	13378	6930	6140	8232
X.g19108.t2	199	82	221	498	114	324
III.g7543.t3	2512	2729	2460	1394	1340	1669
IV.g12201.t1	6098	6782	6286	4945	3568	5298
III.g7466.t1	10933	11633	10295	5409	3163	5143
II.g5982.t1	3	7	5	36	45	28
I.g1398.t1	4177	4560	4188	2293	2209	3323
X.g19107.t1	2623	1237	2570	6740	1019	4185
II.g5983.t1	10	18	8	78	112	130
V.g14418.t1	6794	6976	6650	5894	8195	6141
II.g4271.t2	10	13	2	2578	3738	3274
X.g18577.t1	105	85	87	68	58	52
X.g21750.t1	38	29	25	92	21	31
I.g2362.t1	12493	11387	11630	7999	6784	8465
I.g2563.t1	18	4	5	39	122	37
X.g21749.t1	1807	2053	1563	2000	2311	2198
I.g2411.t1	10	2	2	1602	1302	1575
V.g18408.t1	8607	8371	9325	6532	1180	4140
I.g1213.t3	47	46	53	1094	954	1070
V.g14886.t1	1053	2078	1027	1971	513	1876
I.g1548.t1	3805	4212	3705	2267	2427	2664
X.g19967.t1	18292	12364	13140	23693	4777	15357
V.g17093.t1	489	570	447	1083	683	1057
X.g19966.t2	16441	14983	16280	16196	3237	16083
X.g21719.t1	21	14	20	8	12	7
II.g4716.t3	306	287	277	457	431	447
II.g4752.t1	1683	2113	2355	37277	16192	53599
IV.g10962.t1	865	763	755	1002	1029	1206
V.g15803.t1	501	708	532	497	406	610
X.g21717.t1	117	118	107	95	84	78
I.g1999.t1	4981	5444	5184	1231	1756	2085
V.g15939.t1	2	2	2	265	287	251
IV.g12635.t2	65105	59258	58633	48782	35249	42766
II.g4753.t1	2320	2748	3051	41150	14311	60040
V.g18295.t2	1594	1755	1611	1044	972	1300
I.g1550.t2	20	21	25	5757	7926	8681
V.g14671.t2	121	409	189	79	50	68
III.g7474.t1	3573	3426	3389	1763	1610	2532
V.g14228.t3	7635	7885	7448	4378	2423	4848
I.g1996.t1	21781	16166	19759	49429	22224	39950
I.g2811.t1	3721	4271	3894	1515	1612	1756
III.g7547.t1	40	441	46	824	1700	1392
X.g19586.t2	0	1	0	4	12	9
III.g7452.t1	1352	1447	1341	3181	674	3369
V.g16776.t1	9917	11628	10272	4735	3856	5959
I.g1944.t2	3	3	3	5640	5129	5302
I.g2013.t1	6518	7912	6696	7427	4814	8130
I.g2778.t1	8004	8076	7837	5277	6488	5798
V.g16806.t1	4373	4408	3853	4547	5573	4839
IV.g10624.t1	66	54	42	94	128	87
III.g8796.t1	22092	26040	23899	10565	11264	10409
IV.g12057.t1	6114	6025	5619	5021	3056	5083
I.g1909.t1	1929	1575	1306	2784	3401	3074
X.g18925.t2	3749	3410	2927	5220	1582	3622
IV.g12353.t2	3	5	0	956	951	1150
V.g18406.t1	52	47	47	114	62	106
III.g8117.t1	7	8	10	14	14	20
III.g9986.t2	3578	3604	3702	5041	2392	4632
I.g703.t1	4468	5379	4757	2834	1907	3030
III.g9249.t2	5898	6027	5936	4190	4259	4604
V.g17173.t1	1494	1685	1303	1508	1619	1662
X.g19574.t1	17	17	29	101	116	104
II.g6083.t2	0	1	0	154	145	152
V.g16425.t1	9	7	0	33	18	16
IV.g11015.t3	0	0	0	155	106	108
V.g16426.t1	0	0	0	6	1	2
III.g10328.t1	3979	3584	3712	3357	3457	3521
I.g840.t1	4372	5454	4532	4678	2583	4520
III.g10401.t2	632	781	511	2069	426	1468
IV.g12711.t1	64	64	35	2319	1915	2167
III.g9527.t2	550	425	379	1096	1167	1201
V.g16570.t2	70	152	55	268	161	298
IV.g13738.t1	126	92	86	160	219	141
V.g13941.t1	0	1	1	1977	1755	1791
I.g2678.t1	2089	2345	2517	984	1660	1325
V.g16357.t1	2097	2458	2190	1805	2571	2418
IV.g13429.t1	1224	1219	1131	1433	1004	1626
III.g8617.t1	739	845	814	1192	1521	1208
II.g7091.t1	15	14	25	44	63	42
I.g2680.t1	2090	2476	2618	923	1500	1362
I.g2348.t1	263	367	225	778	818	978
V.g14117.t1	1885	2666	1391	3138	3124	4660
II.g4208.t1	0	1	0	2131	1562	1790
IV.g11210.t1	2533	2461	2284	1025	1002	1350
I.g892.t1	1334	1432	1272	1170	721	1052
I.g1873.t1	5184	5988	5266	2887	3601	3921
III.g7812.t1	2032	1799	1826	1737	1696	1788
V.g18220.t1	3031	3194	2796	1759	1223	1780
IV.g12876.t1	14	4	5	17	24	22
II.g5874.t2	3	1	0	13	15	10
X.g20918.t1	204	137	234	105	124	113
V.g15832.t1	19	15	8	63	23	42
III.g8647.t2	7852	8243	8022	4873	3697	5015
IV.g12300.t1	3	4	4	23	23	36
I.g2998.t2	3133	3183	3136	2784	2009	2832
I.g891.t1	1274	1348	1209	1039	490	876
I.g2018.t1	549	633	506	1189	1286	1242
V.g16801.t2	29490	16013	22841	13111	1018	8525
V.g15831.t1	35	47	32	129	88	96
I.g1971.t3	6	9	7	3449	2100	3058
V.g16302.t1	126	123	65	259	116	242
II.g6210.t1	203	149	141	339	205	249
