Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
X.g21176.t1	3	3	2	24	13	17
I.g979.t2	2	0	0	1610	825	1278
X.g18953.t1	3	5	4	4	16	4
X.g18853.t1	13	13	4	2124	1104	2643
X.g21237.t1	1	0	0	5	6	2
II.g7234.t1	2	2	0	1686	995	1393
X.g19192.t1	39	43	40	121	55	90
III.g9726.t2	0	0	0	0	1	0
X.g21155.t2	0	0	0	1	1	2
IV.g10702.t1	18	29	12	22	87	49
V.g18063.t2	1	0	2	448	315	426
IV.g10450.t1	0	0	0	0	0	0
III.g9048.t1	4	0	2	757	599	691
V.g14672.t3	0	0	0	1	2	0
III.g7835.t1	0	1	0	12	20	17
I.g1423.t1	8	3	2	74	73	70
V.g18062.t1	1	1	0	345	418	379
X.g19050.t1	54	88	47	74	106	89
V.g15632.t1	3	0	8	84	58	88
X.g21507.t1	12	9	6	170	87	125
V.g17310.t1	5	4	2	2	19	3
X.g20258.t1	27	16	22	22	73	27
X.g21377.t1	48	83	49	149	133	152
X.g18910.t1	154	71	70	334	111	220
X.g21506.t1	22	23	25	208	170	153
V.g15357.t3	2	3	3	7	7	5
V.g14262.t3	1	2	0	6	3	6
V.g17314.t1	0	0	0	2	0	2
I.g2132.t1	25	23	22	159	111	118
II.g4179.t1	0	0	0	1	1	0
V.g14905.t1	0	0	0	0	0	0
V.g14467.t3	0	1	0	0	2	2
V.g17312.t1	0	0	0	0	0	0
V.g14727.t1	2	0	1	2	2	2
V.g14897.t1	0	0	1	3	5	3
V.g15008.t1	0	0	0	2	0	1
V.g17560.t1	0	0	0	0	0	0
V.g17311.t1	0	0	0	0	0	1
V.g15454.t1	0	0	0	0	0	1
X.g21413.t1	12	15	16	2	5	4
V.g15453.t1	1	1	0	0	1	2
V.g15416.t1	1	3	4	7	4	8
V.g18059.t2	6	1	1	24	12	13
V.g17307.t2	0	0	0	2	4	1
V.g18182.t1	0	0	0	0	0	0
V.g15445.t2	0	0	0	20	3	16
V.g18450.t1	0	0	0	0	1	0
IV.g11944.t1	2	1	2	3	1	2
I.g1176.t1	22	23	26	9	8	12
I.g1056.t1	37	46	48	4	5	9
IV.g11430.t1	16	25	38	2	3	3
III.g8323.t2	10	9	6	8	15	10
IV.g12780.t1	28	43	58	8	11	21
I.g969.t2	5	12	4	6	2	6
I.g3028.t1	1	0	4	0	1	2
I.g1205.t1	1	1	2	3	1	4
I.g1130.t2	7	14	15	3	1	11
I.g1131.t2	17	26	40	1	11	9
I.g1005.t1	5	7	5	2	2	3
V.g13954.t2	3	0	10	8	2	7
I.g3770.t1	0	0	0	0	0	0
III.g8521.t2	1	1	0	4	3	8
V.g16768.t1	1	0	0	0	0	0
I.g1646.t1	0	0	1	243	308	253
V.g13947.t1	2	0	2	0	0	2
IV.g11717.t1	0	2	0	1	5	1
V.g16614.t1	1	0	0	571	423	430
IV.g11908.t3	1	0	0	1	0	1
IV.g11225.t1	0	0	0	0	0	0
V.g17098.t1	0	0	0	11	11	8
V.g15050.t1	0	0	0	0	0	0
IV.g11907.t3	2	2	1	3	3	3
V.g14832.t1	0	0	0	1	0	0
IV.g11909.t2	0	0	1	3	5	6
V.g16769.t3	0	0	0	0	0	0
V.g14399.t1	2	0	0	0	0	0
V.g13994.t2	792	866	713	420	454	475
X.g18983.t1	306	335	288	323	261	296
II.g4196.t1	1579	1329	1361	724	800	948
II.g5127.t2	3976	4843	3861	1366	1930	1979
IV.g10539.t1	1921	2273	2029	556	728	737
X.g18984.t1	295	327	278	199	263	243
I.g3118.t4	1169	1363	1207	766	1323	1014
V.g16770.t1	3	3	1	10	8	5
I.g1165.t1	1127	1326	1166	355	497	506
IV.g11690.t1	5353	1945	1873	12055	1728	4260
IV.g13479.t1	454	207	255	1852	399	711
III.g9109.t1	17	7	8	146	132	109
IV.g11342.t1	68844	37269	56493	67071	6014	31657
IV.g11595.t1	3611	505	774	11144	1526	3571
IV.g12319.t1	97981	26231	71735	76144	3408	39535
IV.g10680.t1	2788	412	696	18674	2797	5644
IV.g11591.t1	3294	435	917	2646	91	908
IV.g13478.t1	3274	408	692	16955	2233	5077
