"sex","class","chromosome","n","enrichment","p.value","chr.pseudo","sig"
"(M) hermaphrodite","C. nigoni dominant","I",111,1.44428029415239,0.00952865190820731,1,"*"
"(M) hermaphrodite","C. nigoni dominant","II",63,0.804709083153155,0.204212525376247,2,""
"(M) hermaphrodite","C. nigoni dominant","III",86,1.4911563569748,0.0104354647758669,3,"*"
"(M) hermaphrodite","C. nigoni dominant","IV",62,0.876743778949244,0.463919264183149,4,""
"(M) hermaphrodite","C. nigoni dominant","V",70,0.927395093054362,0.694164511567147,5,""
"(M) hermaphrodite","C. nigoni dominant","X",8,0.214062036816318,1.81400277448348e-06,6,"*"
"(M) hermaphrodite","overdominant","I",12,0.636898432683591,0.197664321248569,1,""
"(M) hermaphrodite","overdominant","II",13,0.996877428217126,1,2,""
"(M) hermaphrodite","overdominant","III",7,0.485380164312538,0.0793379947701157,3,""
"(M) hermaphrodite","overdominant","IV",10,0.780101024879423,0.627036829397696,4,""
"(M) hermaphrodite","overdominant","V",15,1.16919219957469,0.638940156925263,5,""
"(M) hermaphrodite","overdominant","X",16,4.73962556535509,6.84330338389998e-06,6,"*"
"(M) hermaphrodite","underdominant","I",38,0.946920130336452,0.845092981553084,1,""
"(M) hermaphrodite","underdominant","II",36,1.28201843791468,0.235576179983162,2,""
"(M) hermaphrodite","underdominant","III",16,0.45114639670936,0.00221405412821667,3,"*"
"(M) hermaphrodite","underdominant","IV",34,1.29306671466895,0.223926556248366,4,""
"(M) hermaphrodite","underdominant","V",34,1.14047185110776,0.522179946245163,5,""
"(M) hermaphrodite","underdominant","X",12,1.09955353654074,0.739153374753634,6,""
"female","no change","I",114,0.648238939243023,1.15206358542622e-05,1,"*"
"female","no change","II",164,0.951478261686647,0.600039611933437,2,""
"female","no change","III",122,0.776479674473511,0.0111029846631554,3,""
"female","no change","IV",156,0.881495960151463,0.176962243110878,4,""
"female","no change","V",253,1.21276148211866,0.0114093635495944,5,""
"female","no change","X",257,1.50870319721798,1.34737586772753e-07,6,"*"
"female","ambiguous","I",94,0.641547939133567,3.6631970046941e-05,1,"*"
"female","ambiguous","II",130,0.890582407484273,0.25480123773831,2,""
"female","ambiguous","III",114,0.892235075794746,0.2929811368321,3,""
"female","ambiguous","IV",137,0.939950061721951,0.539242012969131,4,""
"female","ambiguous","V",193,1.06373980363249,0.465775396285882,5,""
"female","ambiguous","X",223,1.58201443309706,4.85105589917608e-08,6,"*"
"female","additive","I",77,0.688440487525484,0.00185386629937324,1,"*"
"female","additive","II",94,0.818890816706145,0.0871802497452174,2,""
"female","additive","III",88,0.888895431264816,0.337979069194418,3,""
"female","additive","IV",120,1.09783819769233,0.365811770184702,4,""
"female","additive","V",153,1.09478880480533,0.334191084902249,5,""
"female","additive","X",159,1.39219117267586,0.000618597929759681,6,""
"female","C. briggsae dominant","I",266,0.911209423225782,0.196406924807348,1,""
"female","C. briggsae dominant","II",282,0.918083435880907,0.231400415894581,2,""
"female","C. briggsae dominant","III",220,0.78741429880654,0.00168195336522236,3,""
"female","C. briggsae dominant","IV",270,0.853820241716623,0.0267773512520872,4,""
"female","C. briggsae dominant","V",391,1.00987942272684,0.877124544688578,5,""
"female","C. briggsae dominant","X",447,1.53516752998118,3.91010073707438e-12,6,"*"
"female","C. nigoni dominant","I",137,0.88659787206019,0.213396176297415,1,""
"female","C. nigoni dominant","II",154,0.961629606899059,0.717964651510198,2,""
"female","C. nigoni dominant","III",123,0.856423019820882,0.127337389003857,3,""
"female","C. nigoni dominant","IV",169,1.07172791515411,0.444513336886841,4,""
"female","C. nigoni dominant","V",242,1.25843198558462,0.00371282317844264,5,""
"female","C. nigoni dominant","X",168,0.923784803288306,0.388848127964274,6,""
"female","overdominant","I",953,2.38207775214791,1.12634686352185e-64,1,"*"
"female","overdominant","II",768,1.33251332029195,1.87270394675887e-08,2,""
"female","overdominant","III",810,1.93493225512736,1.23240125340786e-35,3,"*"
"female","overdominant","IV",733,1.19587305053914,0.000468126490650347,4,""
"female","overdominant","V",716,0.730031246909735,6.92920029132783e-11,5,""
"female","overdominant","X",141,0.105090241809156,5.89630408260723e-241,6,"*"
"female","underdominant","I",240,0.464143593598769,1.3315542685782e-29,1,"*"
"female","underdominant","II",390,0.831698856962529,0.00241039236172985,2,""
"female","underdominant","III",262,0.579547239506059,8.38061173902493e-16,3,"*"
"female","underdominant","IV",416,0.901714500226085,0.0887563656489955,4,""
"female","underdominant","V",619,1.14130162580537,0.0122563361800487,5,""
"female","underdominant","X",833,2.55408628914054,4.19462450719379e-73,6,"*"
